1,64,10000,2.5752939683e-05,0.69
1,64,30000,6.7231295369e-05,0.75
1,64,60000,1.1085572779e-04,0.82
1,128,10000,1.4554786019e-04,0.34
1,128,30000,1.8777474966e-04,0.70
1,128,60000,2.2917558070e-04,0.78
1,256,10000,2.6369100108e-04,0.31
1,256,30000,3.0149599582e-04,0.65
1,256,60000,3.3736303465e-04,0.74
10,64,10000,5.8628073475e-04,0.84
10,64,30000,9.0299461149e-04,0.88
10,64,60000,1.1791106051e-03,0.89
10,128,10000,1.4204709238e-03,0.83
10,128,30000,1.7015332814e-03,0.87
10,128,60000,1.9408488096e-03,0.89
10,256,10000,2.1739160822e-03,0.75
10,256,30000,2.4466431946e-03,0.86
10,256,60000,2.6952364578e-03,0.88
20,64,10000,3.1880727676e-03,0.86
20,64,30000,3.7603585341e-03,0.89
20,64,60000,4.2916958290e-03,0.89
20,128,10000,4.7532052542e-03,0.84
20,128,30000,5.2922832692e-03,0.87
20,128,60000,5.7684682357e-03,0.90
20,256,10000,6.2211033322e-03,0.84
20,256,30000,6.7591240956e-03,0.88
20,256,60000,7.2470661900e-03,0.89
